"date","platform","q_id","mentioned(0/1)","cited(0/1)","cited_url","competitors","notes"
"2026-09-02","chatgpt","q1","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q2","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q3","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q4","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q5","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q6","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q7","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q8","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q9","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q10","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q11","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q12","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q13","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q14","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q15","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q16","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q17","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q18","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q19","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","chatgpt","q20","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","perplexity","q1","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","perplexity","q2","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","perplexity","q3","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","perplexity","q4","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","perplexity","q5","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","perplexity","q6","0","0","","Guangzhou LC Sign, Shenzhen LicoSign, ISLEDSIGN, SUNSIGN, Hangzhou Allsigns","回答点名具体同行"
"2026-09-02","perplexity","q7","0","0","","ISLEDSIGN, Guangzhou LC Sign, Shenzhen LicoSign, Shenyang Blue Sky Signage, Dongguan Ruitai","回答点名具体同行"
"2026-09-02","perplexity","q8","0","0","","Lu'an Woma, Hangzhou Allsigns, Shenzhen SUNSIGN","回答点名具体同行"
"2026-09-02","perplexity","q9","0","0","","ISLEDSIGN, Guangzhou LC Sign, Shenzhen LicoSign, Aochuang Sign","回答点名具体同行"
"2026-09-02","perplexity","q10","0","0","","Guangzhou LC Sign, ISLEDSIGN, SUNSIGN","回答点名具体同行"
"2026-09-02","perplexity","q11","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","perplexity","q12","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","perplexity","q13","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","perplexity","q14","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","perplexity","q15","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","perplexity","q16","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","perplexity","q17","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","perplexity","q18","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","perplexity","q19","0","0","","","通用知识回答，无品牌提及"
"2026-09-02","perplexity","q20","0","0","","","通用知识回答，无品牌提及"
